OBJECTID,OBJECTID_1,TREEID,Genus,Species,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,NUM_STEMS,TEAM,TREE_TYPE,DATE_MEASURE,HEIGHT_LIDAR,HEIGHT_ERROR_LIDAR,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,RADIUS,NEIGHBORS
1,1,4414,Cupressus,,Cupressus,Cypress,Y,,Live,18,7.2,7.2,1.5,4.6,4.3,45,3,,9,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,4
2,7,5045,Thuja,plicata,Thuja plicata,Pacific Red-Cedar,N,,Live,2,2,2,0.1,1.9,1.6,20,3,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,5
3,16,4301,Acer,palmatum,Acer palmatum,Japanese Maple,N,,Live,1,2.3,2.3,0.8,1.5,1.5,15,3,,7,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,10
4,17,4311,Thuja,plicata,Thuja plicata,Pacific Red-Cedar,N,,Live,8,4.1,4.1,0.2,3.2,3.2,25,5,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,12
5,19,4314,Cupressus,nootkatensis,Cupressus nootkatensis,Yellow Cypress,N,,Live,2,2.3,2.3,0.1,1.8,1.3,15,3,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,9
6,20,4315,Acer,circinatum,Acer circinatum,Vine Maple,N,,Live,1,1.8,1.8,0.1,0.9,0.8,30,2,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,11
7,24,3870,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,3,2.4,,1.2,2.5,2,50,4,,2,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,3
8,25,3871,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,2,2.4,,1.3,2.9,2.3,35,3,,2,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,2
9,26,3878,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,4,3,,1.2,2.9,2.4,50,4,,2,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,1
10,35,2561,Acer,palmatum,Acer palmatum,Japanese Maple,N,,Live,28,10.6,,1.4,11.1,10.5,30,3,,2,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,4
11,36,2580,Picea,omorika,Picea omorika,Serbian Spruce,N,,Live,30,14.4,,4,3.4,2.1,30,5,,2,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,3
12,38,2661,Pseudotsuga,menziesii,Pseudotsuga menziesii,Douglas-Fir,N,,Live,30,12.4,,,6.5,6.4,15,1,,1,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,9
13,54,4365,Acer,circinatum,Acer circinatum,Vine Maple,N,,Live,2,1.9,1.9,0.1,0.9,0.7,30,5,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,10
14,55,4368,Picea,sitchensis,Picea sitchensis,Sitka Spruce,N,,Live,3,1.8,1.8,0.1,1.6,1.4,20,4,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,5
15,56,4375,Acer,circinatum,Acer circinatum,Vine Maple,N,,Live,2,1.8,1.8,0.1,1.3,1.1,35,3,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,3
16,58,4389,Pinus,contorta,Pinus contorta,Lodgepole Pine,N,,Live,4,1.4,1.4,0.3,0.9,0.9,15,5,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,9
17,59,4393,Cornus,nuttallii,Cornus nuttallii,Pacific Dogwood,N,,Live,2,1.9,1.9,0.2,0.6,0.5,15,5,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,7
18,62,4342,Thuja,plicata,Thuja plicata,Pacific Red-Cedar,N,,Live,7,4.2,4.2,0,2.8,2.5,20,5,,7,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,10
19,63,4353,Acer,circinatum,Acer circinatum,Vine Maple,N,,Live,2,1.5,1.5,0.1,1,1.8,25,2,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,12
20,71,4151,Magnolia,hybrid,Magnolia hybrid,,N,,Live,6,2.55,2,0.5,4,2.6,5,4,,5,,20190301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,9
21,72,4059,Magnolia,bybrids,Magnolia bybrids,,N,,Live,17,4.54,4.5,0.2,3.2,2.8,5,4,,6,,20190301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,1
22,73,4343,Cornus,'Eddie's White Wonder',Cornus 'Eddie's White Wonder',,N,,Live,2,2.4,2.4,0.3,0.8,0.7,40,5,,7,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,13
23,74,2031,Quercus,rubra,Quercus rubra,Northern Red Oak,Y,2981,Live,27,9.71,9.7,3.2,11.3,9.6,0,5,,9,,20190301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,0
24,75,4014,?,,?,,N,,Live,6,4.48,2.9,1.6,2.6,2.2,0,2,,8,,20190301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,0
25,76,2874,Chamaecyparis,pisifera,Chamaecyparis pisifera,Sawara-Cypress,Y,5941,Live,80,22.77,22.8,1.5,8.6,7.5,5,3,,3,,20190301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,2
26,78,4126,Fagus,sylvatica 'Dawyck',Fagus sylvatica 'Dawyck',,N,,Live,20,4.98,5,0.8,2.8,1.8,40,4,,6,,20190301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,6
27,80,4324,Thuja,plicata,Thuja plicata,Pacific Red-Cedar,N,,Live,6,3.4,3.4,0,2.8,2.5,30,4,,7,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,5
28,82,5070,Thuja,plicata,Thuja plicata,Pacific Red-Cedar,N,,Live,6,2.2,2.2,0.2,1.4,1.2,35,5,,9,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,1
29,83,4323,Thuja,plicata,Thuja plicata,Pacific Red-Cedar,N,,Live,5,3.2,3.2,0.1,2.4,2,30,5,,7,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,2
30,84,4361,Thuja,plicata,Thuja plicata,Pacific Red-Cedar,N,,Live,3,2.5,2.5,0.1,1.7,1.5,30,5,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,9
31,85,4360,Thuja,plicata,Thuja plicata,Pacific Red-Cedar,N,,Live,3,2.4,2.4,0.1,1.9,4.4,10,5,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,10
32,87,5043,Acer,circinatum,Acer circinatum,Vine Maple,N,,Live,2,2,2,0.1,1.6,1.3,45,3,,8,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,3
33,88,4986,Quercus,rubra,Quercus rubra,Northern Red Oak,N,,Live,82,18.6,18.6,2.8,23.2,18.3,5,5,,5,,20200301,,,,,PLAN,2.01906E+13,PLAN,2.01906E+13,10,0
34,105,3021,Fagus,sylvatica 'Dawyck',Fagus sylvatica 'Dawyck',,Y,,Live,17,13.6,,0.4,4.7,2.9,20,5,,11,,20200301,,,,,PLAN,2.01906E+13,GISSTUD2,2.02001E+13,10,2
35,106,3004,Acer,rubrum 'Bowhall',Acer rubrum 'Bowhall',,N,,Live,0,9.6,9.6,2.4,5,3.9,30,5,,10,,20200301,,,,,PLAN,2.01906E+13,GISSTUD2,2.02001E+13,10,0
36,120,2575,Acer,palmatum,Acer palmatum,Japanese Maple,Y,,Live,16,9.7,,2,7.6,7,55,1,,2,,20200301,,,,,PLAN,2.01906E+13,GISSTUD2,2.02001E+13,10,3
37,181,3855,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,12,4,,1.3,6.7,5.9,35,2,,2,,20200301,4.5,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,6
38,182,3856,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,13,6.2,,1.1,5.4,3.9,50,2,,2,,20200301,7.2,0,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,6
39,183,3857,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,9,3.4,,1.5,5,3,60,2,,2,,20200301,6.4,0,,"estimation, it was behind the bushes ",PLAN,2.01906E+13,PLAN,2.02009E+13,10,6
40,184,3858,Acer,palmatum,Acer palmatum,Japanese Maple,N,,Live,21,5.8,,3,7.7,7.6,25,2,,2,,20200301,5.3,0.4,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,7
41,185,3859,Acer,palmatum,Acer palmatum,Japanese Maple,N,,Live,19,6.2,,1.3,6.7,5.9,35,2,,2,,20200301,7.3,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,7
42,186,3860,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,13,5.6,,1.4,7.2,6.7,55,2,,2,,20200301,5.8,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,7
43,187,3861,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,17,5.8,,1.8,6.6,6.2,45,2,,2,,20200301,6.5,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,5
44,188,3862,Acer,palmatum,Acer palmatum,Japanese Maple,N,,Live,23,8.6,,2.5,7.6,6.7,40,2,,2,,20200301,8,0,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,4
45,189,3863,Gleditsia,triacanthos,Gleditsia triacanthos,Three-Thorn-Acacia,N,,Live,11,5.8,,1.8,7.8,5.7,25,2,,2,,20200301,5.9,0,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,0
46,190,3864,Cercidiphyllum,japonicum,Cercidiphyllum japonicum,Katsura-Tree,N,,Live,10,6.3,6.3,0.9,3.7,4,15,3,,3,,20200301,6.3,0.2,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
47,191,3865,Cercidiphyllum,japonicum,Cercidiphyllum japonicum,Katsura-Tree,N,,Live,10,6.4,6.4,1.7,3.7,4,15,4,,3,,20200301,6,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,2
48,192,3866,Cercidiphyllum,japonicum,Cercidiphyllum japonicum,Katsura-Tree,N,,Live,9,5,5,1.7,3.7,4,5,4,,3,,20200301,5.1,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
49,193,3867,Fraxinus,ornus?,Fraxinus ornus?,,N,,Live,13,5.2,5.2,1.8,5,3.9,25,3,,3,,20200301,5.2,0,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,0
50,194,3868,Viburnum,,Viburnum,,N,,Live,14,4.6,4.6,5.2,0.6,4.3,5,3,,3,,20200301,5.7,0.2,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
51,195,3869,Tsonga,heterophylla,Tsonga heterophylla,,N,,Live,57,16,16,1.5,12.2,9.8,10,4,,3,,20200301,19.4,0,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
52,196,3872,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,3,3.1,,1.2,2.6,2,45,4,,2,,20200301,2.5,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,3
53,197,3873,Acer,platanoides,Acer platanoides,Norway Maple,N,,Live,12,8.4,8.4,1.7,4.1,3.2,10,2,,3,,20200301,8.7,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
54,198,3874,Acer,circinatum,Acer circinatum,Vine Maple,N,,Live,11,2.6,2.6,0.3,3.3,2.9,10,3,,3,,20200301,2.6,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
55,199,3875,Acer,platanoides,Acer platanoides,Norway Maple,N,,Live,36,11.4,11.4,1.8,9.1,7.5,10,4,,3,,20200301,10.8,0,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
56,200,3876,Acer,palmatum,Acer palmatum,Japanese Maple,N,,Live,8,2.4,2.4,0.3,3.6,3.3,5,3,,3,,20200301,6.6,0,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
57,201,3877,Fraxinus,americana,Fraxinus americana,American Ash,N,,Live,8,6,,2.4,3.7,2.5,45,5,,2,,20200301,5.7,0.2,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,0
58,202,3879,Cornus,kousa,Cornus kousa,Japanese Dogwood,N,,Live,3,2.6,,1.2,2.1,1.9,25,5,,2,,20200301,2.1,0.1,,,PLAN,2.01906E+13,PLAN,2.02009E+13,10,1
